CustomerID,Recency,Frequency,Monetary,R_rank,F_rank,M_rank,R_quartile,F_quartile,M_quartile,RFM_Score,Segment
12348,75,4,1797.24,0.6218022585849274,0.7430283475455174,0.7681493431666283,2,3,4,9,Loyal
12352,36,8,2506.04,0.42406084351233003,0.8939847891219175,0.8382115694860567,3,4,4,11,Loyal
12356,23,3,2811.43,0.31481908273795806,0.6536068218483522,0.8614888223092878,3,3,4,10,Loyal
12358,2,2,1168.06,0.041484212952293154,0.5365291541829915,0.6616731965890759,4,3,3,10,Loyal
12359,58,4,6372.58,0.5383728969808712,0.7430283475455174,0.9550587693016824,2,3,4,9,Loyal
12360,52,3,2662.06,0.5120995621110855,0.6536068218483522,0.8515787047706845,2,3,4,9,Loyal
12364,8,4,1313.1,0.13436275639548284,0.7430283475455174,0.690481677805946,4,3,3,10,Loyal
12370,51,4,3545.69,0.5044941230698318,0.7430283475455174,0.8949066605208573,2,3,4,9,Loyal
12371,45,2,1887.96,0.4763770454021664,0.5365291541829915,0.781516478451256,3,3,4,10,Loyal
12372,72,3,1298.04,0.606360912652685,0.6536068218483522,0.6867941922101867,2,3,3,8,Loyal
12377,315,2,1628.12,0.9536759622032727,0.5365291541829915,0.745333026042867,1,3,3,7,Loyal
12379,82,2,852.24,0.6464623185065683,0.5365291541829915,0.5722516708919105,2,3,3,8,Loyal
12380,22,4,2724.81,0.3012214796035953,0.7430283475455174,0.854805254666974,3,3,4,10,Loyal
12383,185,5,1850.56,0.8087116847199816,0.7988015671813782,0.7762157179073519,1,4,4,9,Loyal
12393,72,4,1582.6,0.606360912652685,0.7430283475455174,0.7377275870016132,2,3,3,8,Loyal
12394,64,2,1272.48,0.5708688637935008,0.5365291541829915,0.6826457709149574,2,3,3,8,Loyal
12395,19,12,3018.63,0.2740262733348698,0.9444572482138741,0.872781746946301,3,4,4,11,Loyal
12397,36,2,2409.9,0.42406084351233003,0.5365291541829915,0.8315280018437428,3,3,4,10,Loyal
12399,119,4,1108.65,0.7172159483752016,0.7430283475455174,0.6466927863563033,2,3,3,8,Loyal
12406,22,2,3415.3,0.3012214796035953,0.5365291541829915,0.8898363678266882,3,3,4,10,Loyal
12407,50,5,1708.12,0.4975800875777829,0.7988015671813782,0.7563954828301452,3,4,4,11,Loyal
12408,33,5,2888.55,0.4086194975800876,0.7988015671813782,0.866328647153722,3,4,4,11,Loyal
12409,79,3,11072.67,0.63632173311823,0.6536068218483522,0.9797188292233233,2,3,4,9,Loyal
12410,309,2,693.3299999999999,0.9463009910117539,0.5365291541829915,0.5100253514634708,1,3,3,7,Loyal
12412,75,3,1226.88,0.6218022585849274,0.6536068218483522,0.6715833141276792,2,3,3,8,Loyal
12413,67,3,758.1,0.5863102097257432,0.6536068218483522,0.5379119612814013,2,3,3,8,Loyal
12415,24,21,124914.53,0.32634247522470616,0.9804102327725283,0.9986171929015902,3,4,4,11,Loyal
